QuizID,Round,Question No,question,answer,choice
2,1,1,Microsoft launched Windows 3.0 in,"Aug. 1, 1989",A
2,1,1,Microsoft launched Windows 3.0 in,"Feb. 13, 1990",D
2,1,1,Microsoft launched Windows 3.0 in,"May 1, 1991",C
2,1,1,Microsoft launched Windows 3.0 in,"Sept. 15, 1990",B
1,1,1,Who is credited with coining the phrase: “For whom the bell tolls”?,Ernest Hemingway,C
1,1,1,Who is credited with coining the phrase: “For whom the bell tolls”?,John Donne,A
1,1,1,Who is credited with coining the phrase: “For whom the bell tolls”?,William Shakespeare,B
1,2,1,Which legendary music producer is closely related to former President Jimmy Carter?,Berry Gordy,C
1,2,1,Which legendary music producer is closely related to former President Jimmy Carter?,Brian Eno,B
1,2,1,Which legendary music producer is closely related to former President Jimmy Carter?,Jeff Lynne,A
2,2,1,Which of these authors has NOT written a comic book about Black Panther?,Cornel West,C
2,2,1,Which of these authors has NOT written a comic book about Black Panther?,Roxane Gay,A
2,2,1,Which of these authors has NOT written a comic book about Black Panther?,Ta-Nehisi Coates,B
1,3,1,Microsoft announced the formation of the new AI and Research Group in,2015,D
1,3,1,Microsoft announced the formation of the new AI and Research Group in,2016,C
1,3,1,Microsoft announced the formation of the new AI and Research Group in,2018,A
1,3,1,Microsoft announced the formation of the new AI and Research Group in,2019,B
2,3,1,Microsoft unveiled Xbox One in,2011,A
2,3,1,Microsoft unveiled Xbox One in,2012,B
2,3,1,Microsoft unveiled Xbox One in,2013,D
2,3,1,Microsoft unveiled Xbox One in,2014,C
1,1,10,Microsoft was founded in,1975,B
1,1,10,Microsoft was founded in,1978,C
1,1,10,Microsoft was founded in,1981,A
1,1,10,Microsoft was founded in,1995,D
2,1,10,Which type of musical composition is also an Olympic figure skating jump?,Bagatelle,B
2,1,10,Which type of musical composition is also an Olympic figure skating jump?,Mazurka,C
2,1,10,Which type of musical composition is also an Olympic figure skating jump?,Sarabande,A
2,2,10,Microsoft acquired Yammer in,2009,A
2,2,10,Microsoft acquired Yammer in,2010,B
2,2,10,Microsoft acquired Yammer in,2011,C
2,2,10,Microsoft acquired Yammer in,2012,D
1,2,10,"Microsoft moved to the Redmond, WA Campus on",1976,C
1,2,10,"Microsoft moved to the Redmond, WA Campus on",1979,A
1,2,10,"Microsoft moved to the Redmond, WA Campus on",1980,B
