QID,question,answer,correct,choice
419,“Alice’s Adventures in Wonderland” features which of these characters?,King of Queens,FALSE,B
419,“Alice’s Adventures in Wonderland” features which of these characters?,Paul Blart,FALSE,A
419,“Alice’s Adventures in Wonderland” features which of these characters?,Queen of Hearts,TRUE,C
1475,“Association football” is the British term for a sport typically known as what in the US?,Football,FALSE,A
1475,“Association football” is the British term for a sport typically known as what in the US?,Rugby,FALSE,B
1475,“Association football” is the British term for a sport typically known as what in the US?,Soccer,TRUE,C
901,“Betteridge’s Law” is a famous observation about what?,Cable news ratings,FALSE,C
901,“Betteridge’s Law” is a famous observation about what?,Headlines,TRUE,A
901,“Betteridge’s Law” is a famous observation about what?,Smartphone size,FALSE,B
809,“Bollywood” is a portmanteau of what city and Hollywood?,Boca Raton,FALSE,B
809,“Bollywood” is a portmanteau of what city and Hollywood?,Bombay,TRUE,A
809,“Bollywood” is a portmanteau of what city and Hollywood?,Boston,FALSE,C
1292,“Boss of Me” by They Might Be Giants was the theme song to what sitcom?,30 Rock,FALSE,A
1292,“Boss of Me” by They Might Be Giants was the theme song to what sitcom?,Malcolm in the Middle,TRUE,B
1292,“Boss of Me” by They Might Be Giants was the theme song to what sitcom?,The Office,FALSE,C
330,“Chestnut” and “button” are types of which ingredient?,Carrot,FALSE,B
330,“Chestnut” and “button” are types of which ingredient?,Grape,FALSE,A
330,“Chestnut” and “button” are types of which ingredient?,Mushroom,TRUE,C
1248,“Dirty water dog” is a New York City nickname for what edible street food?,Hot dog,TRUE,B
1248,“Dirty water dog” is a New York City nickname for what edible street food?,Mushroom soup,FALSE,C
1248,“Dirty water dog” is a New York City nickname for what edible street food?,Spaghetti,FALSE,A
104,“Embarazada” is the Spanish word for what?,Embarrassed,FALSE,C
104,“Embarazada” is the Spanish word for what?,Naked,FALSE,A
104,“Embarazada” is the Spanish word for what?,Pregnant,TRUE,B
79,“Fro-yo” is short for what?,Frog yoga,FALSE,C
79,“Fro-yo” is short for what?,Frolicking yokels,FALSE,A
79,“Fro-yo” is short for what?,Frozen yogurt,TRUE,B
285,“Go Blue!” is the rallying cry of what university’s sports team?,Michigan State,FALSE,B
285,“Go Blue!” is the rallying cry of what university’s sports team?,Ohio State,FALSE,C
285,“Go Blue!” is the rallying cry of what university’s sports team?,U of Michigan,TRUE,A
1223,“Here Comes the Bride” was written by the composer of which opera?,Carmen,FALSE,B
1223,“Here Comes the Bride” was written by the composer of which opera?,Don Giovanni,FALSE,A
1223,“Here Comes the Bride” was written by the composer of which opera?,Tristan and Isolde,TRUE,C
97,“INTJ” is a personality type based on a hypothesis by which psychiatrist?,B.F. Skinner,FALSE,A
97,“INTJ” is a personality type based on a hypothesis by which psychiatrist?,Carl Jung,TRUE,B
97,“INTJ” is a personality type based on a hypothesis by which psychiatrist?,Sigmund Freud,FALSE,C
1147,“Le Monde” is a daily newspaper based in what capital city?,Madrid,FALSE,B
1147,“Le Monde” is a daily newspaper based in what capital city?,Paris,TRUE,C
1147,“Le Monde” is a daily newspaper based in what capital city?,Rome,FALSE,A
1399,“Let My Love Open the Door” was a hit for a former member of what band?,Genesis,FALSE,B
1399,“Let My Love Open the Door” was a hit for a former member of what band?,Led Zeppelin,FALSE,C
1399,“Let My Love Open the Door” was a hit for a former member of what band?,The Who,TRUE,A
519,“Long pimples” is slang for equipment in which sport?,Cricket,FALSE,A
519,“Long pimples” is slang for equipment in which sport?,Golf,FALSE,B
519,“Long pimples” is slang for equipment in which sport?,Table tennis,TRUE,C
576,“Posse cut” is common terminology in what profession?,Animation director,FALSE,B
576,“Posse cut” is common terminology in what profession?,Beautician,FALSE,A
576,“Posse cut” is common terminology in what profession?,Record producer,TRUE,C
1044,“Sphenopalatine ganglioneuralgia” is the scientific term for what?,Absentmindedness,FALSE,B
1044,“Sphenopalatine ganglioneuralgia” is the scientific term for what?,Ice cream headache,TRUE,C
1044,“Sphenopalatine ganglioneuralgia” is the scientific term for what?,Severe embarrassment,FALSE,A
850,“Tales from the Crypt” was originally on the same U.S. network as which show?,Animaniacs,FALSE,C
850,“Tales from the Crypt” was originally on the same U.S. network as which show?,Fraggle Rock,TRUE,B
850,“Tales from the Crypt” was originally on the same U.S. network as which show?,Full house,FALSE,A
554,“The cake is a lie” is a catchphrase originating in what hit video game?,BioShock,FALSE,B
554,“The cake is a lie” is a catchphrase originating in what hit video game?,Minecraft,FALSE,C
554,“The cake is a lie” is a catchphrase originating in what hit video game?,Portal,TRUE,A
1171,“The Landlord’s Game” by Elizabeth Magie evolved into what classic board game?,Monopoly,TRUE,A
1171,“The Landlord’s Game” by Elizabeth Magie evolved into what classic board game?,Sorry!,FALSE,B
1171,“The Landlord’s Game” by Elizabeth Magie evolved into what classic board game?,Trouble,FALSE,C
658,“Zen and the Art of Motorcycle Maintenance” gets its name from an earlier book about what?,Archery,TRUE,A
658,“Zen and the Art of Motorcycle Maintenance” gets its name from an earlier book about what?,Bicycling,FALSE,B
658,“Zen and the Art of Motorcycle Maintenance” gets its name from an earlier book about what?,Gardening,FALSE,C
1428,A “rack-and-pinion” assembly relies on what mechanical concept?,Gears,TRUE,B
1428,A “rack-and-pinion” assembly relies on what mechanical concept?,Hydraulics,FALSE,A
1428,A “rack-and-pinion” assembly relies on what mechanical concept?,Springs,FALSE,C
973,A 1939 Supreme Court decision ruled against workers taking part in what kind of strike?,Labor slowdown,FALSE,B
973,A 1939 Supreme Court decision ruled against workers taking part in what kind of strike?,Sit-down,TRUE,C
973,A 1939 Supreme Court decision ruled against workers taking part in what kind of strike?,Walkout,FALSE,A
174,A 1976 book by Richard Dawkins introduced what now-common word?,Android,FALSE,A
174,A 1976 book by Richard Dawkins introduced what now-common word?,Emoticon,FALSE,B
174,A 1976 book by Richard Dawkins introduced what now-common word?,Meme,TRUE,C
108,A 1984 Devo album has the same name as a massive 1984 single by what band?,Pet Shop Boys,FALSE,B
108,A 1984 Devo album has the same name as a massive 1984 single by what band?,Tears for Fears,TRUE,C
108,A 1984 Devo album has the same name as a massive 1984 single by what band?,The Human League,FALSE,A
1199,A 2017 hack of the “Harvard Crimson” front page made fun of what celebrity?,Malia Obama,FALSE,A
1199,A 2017 hack of the “Harvard Crimson” front page made fun of what celebrity?,Mark Zuckerberg,TRUE,B
1199,A 2017 hack of the “Harvard Crimson” front page made fun of what celebrity?,Natalie Portman,FALSE,C
60,A bed that folds up into the wall is commonly known as what?,Fitzy bed,FALSE,B
60,A bed that folds up into the wall is commonly known as what?,Murphy bed,TRUE,C
60,A bed that folds up into the wall is commonly known as what?,Sully bed,FALSE,A
116,A cat with what fur pattern is almost always female?,Calico,TRUE,A
116,A cat with what fur pattern is almost always female?,Tabby,FALSE,C
116,A cat with what fur pattern is almost always female?,Tuxedo,FALSE,B
1276,A catchy song is sometimes referred to as what?,Earworm,TRUE,C
1276,A catchy song is sometimes referred to as what?,Face-spider,FALSE,B
1276,A catchy song is sometimes referred to as what?,Hair tarantula,FALSE,A
1525,A centuries-old game called “Captain’s Mistress” is now often sold under what name?,Battleship,FALSE,A
1525,A centuries-old game called “Captain’s Mistress” is now often sold under what name?,Connect Four,TRUE,C
1525,A centuries-old game called “Captain’s Mistress” is now often sold under what name?,Yahtzee,FALSE,B
1499,A character on “Seinfeld” once found the discarded set of what TV show host?,Jerry Springer,FALSE,C
1499,A character on “Seinfeld” once found the discarded set of what TV show host?,Johnny Carson,FALSE,B
1499,A character on “Seinfeld” once found the discarded set of what TV show host?,Merv Griffin,TRUE,A
476,A classic 1936 book about the Civil War is called “Gone with the” what?,Waffle House,FALSE,B
476,A classic 1936 book about the Civil War is called “Gone with the” what?,WiFi,FALSE,A
476,A classic 1936 book about the Civil War is called “Gone with the” what?,Wind,TRUE,C
953,A classic Shakespeare play details the doomed love between Romeo and who?,Jessica Simpson,FALSE,B
953,A classic Shakespeare play details the doomed love between Romeo and who?,Juliet,TRUE,A
953,A classic Shakespeare play details the doomed love between Romeo and who?,Ms. Jackson,FALSE,C
572,A common metaphor for an unpleasant subject is having what animal “in the room”?,Elephant,TRUE,C
572,A common metaphor for an unpleasant subject is having what animal “in the room”?,Rattlesnake,FALSE,B
572,A common metaphor for an unpleasant subject is having what animal “in the room”?,Scorpion,FALSE,A
807,A common type of hair tie covered in fabric is known as what?,Lunchie,FALSE,C
807,A common type of hair tie covered in fabric is known as what?,Munchie,FALSE,B
807,A common type of hair tie covered in fabric is known as what?,Scrunchie,TRUE,A
266,A controversial ‘90s episode of “Oprah” caused the price of which product to drop?,Beef,TRUE,C
266,A controversial ‘90s episode of “Oprah” caused the price of which product to drop?,Diamonds,FALSE,A
266,A controversial ‘90s episode of “Oprah” caused the price of which product to drop?,Soda,FALSE,B
1470,A dinner combining seafood and red meat is called “surf and” what?,Nerf,FALSE,C
1470,A dinner combining seafood and red meat is called “surf and” what?,Smurf,FALSE,A
1470,A dinner combining seafood and red meat is called “surf and” what?,Turf,TRUE,B
1480,A direct flight from Bishkek to Ashgabat will nearly pass over which country’s capital?,Afghanistan,FALSE,C
1480,A direct flight from Bishkek to Ashgabat will nearly pass over which country’s capital?,Kazakhstan,FALSE,B
1480,A direct flight from Bishkek to Ashgabat will nearly pass over which country’s capital?,Uzbekistan,TRUE,A
1056,A famous 1977 FBI sting to unmask KGB operatives had what curious name?,Fancy-Bear,FALSE,B
1056,A famous 1977 FBI sting to unmask KGB operatives had what curious name?,Lemon-Aid,TRUE,C
